model,method,layer,subspace_dimension,seed,epochs,learning_rate,batch_size,epoch,train_loss,evaluation_loss
gpt2-small,das3d,0,3,0,64,0.001,128,43,0.05052267014980316,0.05516839399933815
gpt2-small,das3d,0,3,0,64,0.001,128,44,0.05516839399933815,0.0511033833026886
gpt2-small,das3d,0,3,0,64,0.001,128,45,0.0511033833026886,0.04355400428175926
gpt2-small,das3d,0,3,0,64,0.001,128,46,0.04355400428175926,0.042392581701278687
gpt2-small,das3d,0,3,0,64,0.001,128,47,0.042392581701278687,0.040069736540317535
gpt2-small,das3d,0,3,0,64,0.001,128,48,0.040069736540317535,0.0325203575193882
gpt2-small,das3d,0,3,0,64,0.001,128,49,0.0325203575193882,0.03716614842414856
gpt2-small,das3d,0,3,0,64,0.001,128,50,0.03716614842414856,0.035423945635557175
gpt2-small,das3d,0,3,0,64,0.001,128,51,0.035423945635557175,0.024390269070863724
gpt2-small,das3d,0,3,0,64,0.001,128,52,0.024390269070863724,0.03135893493890762
gpt2-small,das3d,0,3,0,64,0.001,128,53,0.03135893493890762,0.023228812962770462
gpt2-small,das3d,0,3,0,64,0.001,128,54,0.023228812962770462,0.02497098036110401
gpt2-small,das3d,0,3,0,64,0.001,128,55,0.02497098036110401,0.015098756179213524
gpt2-small,das3d,0,3,0,64,0.001,128,56,0.015098756179213524,0.015098756179213524
gpt2-small,das3d,0,3,0,64,0.001,128,57,0.015098756179213524,0.005807211622595787
gpt2-small,das3d,0,3,0,64,0.001,128,58,0.005807211622595787,0.00406511127948761
gpt2-small,das3d,0,3,0,64,0.001,128,59,0.00406511127948761,0.005226533394306898
gpt2-small,das3d,0,3,0,64,0.001,128,60,0.005226533394306898,0.006968633737415075
gpt2-small,das3d,0,3,0,64,0.001,128,61,0.006968633737415075,0.0005807444103993475
gpt2-small,das3d,0,3,0,64,0.001,128,62,0.0005807444103993475,-0.008130055852234364
gpt2-small,das3d,0,3,0,64,0.001,128,63,-0.008130055852234364,-0.013356490060687065
gpt2-small,das,1,1,0,64,0.001,128,0,1.005226492881775,0.9953542351722717
gpt2-small,das,1,1,0,64,0.001,128,1,0.9953542351722717,0.9889662861824036
gpt2-small,das,1,1,0,64,0.001,128,2,0.9889662861824036,0.9837398529052734
gpt2-small,das,1,1,0,64,0.001,128,3,0.9837398529052734,0.965737521648407
gpt2-small,das,1,1,0,64,0.001,128,4,0.965737521648407,0.9274100065231323
gpt2-small,das,1,1,0,64,0.001,128,5,0.9274100065231323,0.8606271147727966
gpt2-small,das,1,1,0,64,0.001,128,6,0.8606271147727966,0.7897793054580688
gpt2-small,das,1,1,0,64,0.001,128,7,0.7897793054580688,0.7160279154777527
gpt2-small,das,1,1,0,64,0.001,128,8,0.7160279154777527,0.657375156879425
